ground_truth
"{'id': '56be4db0acb8001400a502ec', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56be4db0acb8001400a502ed', 'answers': {'text': ['Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers'], 'answer_start': [249, 249, 249]}}"
"{'id': '56be4db0acb8001400a502ee', 'answers': {'text': ['Santa Clara, California', ""Levi's Stadium"", ""Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""], 'answer_start': [403, 355, 355]}}"
"{'id': '56be4db0acb8001400a502ef', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56be4db0acb8001400a502f0', 'answers': {'text': ['gold', 'gold', 'gold'], 'answer_start': [488, 488, 521]}}"
"{'id': '56be8e613aeaaa14008c90d1', 'answers': {'text': ['""golden anniversary""', 'gold-themed', '""golden anniversary'], 'answer_start': [487, 521, 487]}}"
"{'id': '56be8e613aeaaa14008c90d2', 'answers': {'text': ['February 7, 2016', 'February 7', 'February 7, 2016'], 'answer_start': [334, 334, 334]}}"
"{'id': '56be8e613aeaaa14008c90d3', 'answers': {'text': ['American Football Conference', 'American Football Conference', 'American Football Conference'], 'answer_start': [133, 133, 133]}}"
"{'id': '56bea9923aeaaa14008c91b9', 'answers': {'text': ['""golden anniversary""', 'gold-themed', 'gold'], 'answer_start': [487, 521, 521]}}"
"{'id': '56bea9923aeaaa14008c91ba', 'answers': {'text': ['American Football Conference', 'American Football Conference', 'American Football Conference'], 'answer_start': [133, 133, 133]}}"
"{'id': '56bea9923aeaaa14008c91bb', 'answers': {'text': ['February 7, 2016', 'February 7', 'February 7, 2016'], 'answer_start': [334, 334, 334]}}"
"{'id': '56beace93aeaaa14008c91df', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56beace93aeaaa14008c91e0', 'answers': {'text': [""Levi's Stadium"", ""Levi's Stadium"", ""Levi's Stadium in the San Francisco Bay Area at Santa Clara""], 'answer_start': [355, 355, 355]}}"
"{'id': '56beace93aeaaa14008c91e1', 'answers': {'text': ['Santa Clara', 'Santa Clara', 'Santa Clara'], 'answer_start': [403, 403, 403]}}"
"{'id': '56beace93aeaaa14008c91e2', 'answers': {'text': ['Super Bowl L', 'L', 'Super Bowl L'], 'answer_start': [693, 704, 693]}}"
"{'id': '56beace93aeaaa14008c91e3', 'answers': {'text': ['2015', 'the 2015 season', '2015'], 'answer_start': [116, 112, 116]}}"
"{'id': '56bf10f43aeaaa14008c94fd', 'answers': {'text': ['2015', '2016', '2015'], 'answer_start': [116, 346, 116]}}"
"{'id': '56bf10f43aeaaa14008c94fe', 'answers': {'text': ['Santa Clara', 'Santa Clara', 'Santa Clara'], 'answer_start': [403, 403, 403]}}"
"{'id': '56bf10f43aeaaa14008c94ff', 'answers': {'text': [""Levi's Stadium"", ""Levi's Stadium"", ""Levi's Stadium""], 'answer_start': [355, 355, 355]}}"
"{'id': '56bf10f43aeaaa14008c9500', 'answers': {'text': ['24–10', '24–10', '24–10'], 'answer_start': [267, 267, 267]}}"
"{'id': '56bf10f43aeaaa14008c9501', 'answers': {'text': ['February 7, 2016', 'February 7, 2016', 'February 7, 2016'], 'answer_start': [334, 334, 334]}}"
"{'id': '56d20362e7d4791d009025e8', 'answers': {'text': ['2015', '2016', '2016'], 'answer_start': [116, 346, 346]}}"
"{'id': '56d20362e7d4791d009025e9', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56d20362e7d4791d009025ea', 'answers': {'text': ['Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers'], 'answer_start': [249, 249, 249]}}"
"{'id': '56d20362e7d4791d009025eb', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56d600e31c85041400946eae', 'answers': {'text': ['2015', 'the 2015 season', '2015'], 'answer_start': [116, 112, 116]}}"
"{'id': '56d600e31c85041400946eb0', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56d600e31c85041400946eb1', 'answers': {'text': ['Santa Clara, California.', ""Levi's Stadium"", ""Levi's Stadium""], 'answer_start': [403, 355, 355]}}"
"{'id': '56d9895ddc89441400fdb50e', 'answers': {'text': ['Super Bowl', 'Super Bowl', 'Super Bowl'], 'answer_start': [0, 0, 0]}}"
"{'id': '56d9895ddc89441400fdb510', 'answers': {'text': ['Denver Broncos', 'Denver Broncos', 'Denver Broncos'], 'answer_start': [177, 177, 177]}}"
"{'id': '56be4e1facb8001400a502f6', 'answers': {'text': ['Cam Newton', 'Cam Newton', 'Cam Newton'], 'answer_start': [77, 77, 77]}}"
"{'id': '56be4e1facb8001400a502f9', 'answers': {'text': ['8', 'eight', 'eight'], 'answer_start': [467, 601, 601]}}"
"{'id': '56be4e1facb8001400a502fa', 'answers': {'text': ['1995', '1995', '1995'], 'answer_start': [291, 291, 291]}}"
"{'id': '56beaa4a3aeaaa14008c91c2', 'answers': {'text': ['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals'], 'answer_start': [152, 148, 152]}}"
